byvar,avg_final,X,cluster,numdata$q1,numdata$q11,numdata$q12,numdata$q13r1,numdata$q13r2,numdata$q13r3,numdata$q13r4,numdata$q13r5,numdata$q13r6,numdata$q13r7,numdata$q13r8,numdata$q13r9,numdata$q13r10,numdata$q13r11,numdata$q13r12,numdata$q48,numdata$q49,numdata$q54,numdata$q56,numdata$q57
1,2.97499594,1055.917772,1,4.923076923,3.00530504,,1.74535809,3.188328912,3.456233422,2.774535809,3.466843501,1.915119363,3.554376658,3.527851459,3.106100796,3.042440318,3.275862069,2.763925729,3.610079576,1.954907162,1.779840849,7.816976127,
2,1.342017929,1184.64486,2,4.037383178,3.302180685,,1.102803738,2.105919003,2.894080997,2.068535826,2.797507788,1.336448598,3,2.903426791,2.295950156,2.355140187,2.819314642,2.124610592,3.554517134,1.800623053,1.76635514,8.102803738,
3,2.423170523,1222.290795,3,4.794979079,3.173640167,,1.267782427,2.794979079,3.479079498,2.468619247,3.449790795,1.652719665,3.594142259,3.518828452,3.075313808,2.738493724,3.129707113,2.552301255,3.70292887,1.864016736,1.543933054,8.108786611,
4,3.784224166,1072.690476,4,5.23015873,2.968253968,,2.531746032,3.452380952,3.595238095,3.071428571,3.563492063,2.23015873,3.642857143,3.619047619,3.166666667,3.261904762,3.547619048,3.055555556,3.404761905,1.984126984,1.793650794,8.166666667,
5,1.922657979,1271.871486,5,4.228915663,3.192771084,4.158634538,1.176706827,2.560240964,3.319277108,2.28313253,3.156626506,1.437751004,3.419678715,3.343373494,2.807228916,2.570281124,3.096385542,2.293172691,3.52811245,1.929718876,1.765060241,7.465863454,
,,,,,,,,,,,,,,,,,,,,,,,
,,,1,35-39,11-30 apps,,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Some College,Single,White or African American,50-70K,
