"","Comp.1","Comp.2","Comp.3"
"1853",-1.31021111634316,0.55366292777449,-1.38182363356894
"1097",-1.31021111634316,0.55366292777449,-1.38182363356894
"65",-0.115056724210371,0.0411792670618141,0.294660985479587
"1762",-0.560611699190763,1.07618867989699,0.160562728785179
"1016",-0.579893688933428,-0.675165552129136,1.11167252319335
"1511",-0.454778500696797,0.371986139708163,-0.824817227557136
"1404",-1.94695169411953,-0.2123919196098,-0.37732149351353
"1027",-0.0139083775612502,1.38716158415158,0.744265307620596
"729",-1.57215198554333,0.0488709564514513,0.393871687663527
"751",1.3578344794697,-1.12579690564635,0.798275045844157
"121",-0.357715603667876,1.2877415277649,1.11924651230388
"628",0.38485817260246,1.34959383496036,-0.870635584093844
"2117",1.24089019047347,-1.31249473941759,-0.254154038845362
"1317",0.279624376333138,-0.426615411162435,0.174219511485151
"1349",-1.02136321429362,0.790070789739071,-0.516885151221059
"277",0.416450057296676,-0.968975131676694,0.335013941003176
"1891",2.38925615778958,-0.82753673648631,-0.326668568205686
"2139",-1.15758949303251,-1.1479812760583,-0.618204441502403
"1112",0.694186868843956,-1.62346764367218,-0.837856617680779
"1861",-0.029104917683715,0.0660342811584842,0.200915684308767
"908",-1.72008875700913,-0.29966969699436,-1.80473178288633
"1345",0.501802461598689,1.5362916687316,0.181793500595674
"2030",-0.751797301986741,-0.724875580322476,1.29916312553499
"1449",-1.31429656596336,0.123435998741462,0.112635784151067
"2310",0.502401863823333,-0.944120117580024,0.241268639832355
"420",-2.29075892022616,-0.31181197599648,-0.00234028883024923
"431",2.38925615778958,-0.82753673648631,-0.326668568205686
"550",-1.38913728198776,0.989481358604862,2.24419012635372
"2146",-0.970489339856736,0.222856055128142,-0.262345420532214
"256",-0.970489339856736,0.222856055128142,-0.262345420532214
"2329",0.623431602439764,-0.327195354775754,-0.20076169319813
"1833",1.54902008226568,0.675267354573117,-0.340325350905659
"720",-0.0443014578061793,-1.25509302183462,-0.342433939003062
"1230",0.310616858802711,-0.264772591487864,1.32039389734549
"139",-2.91932859876213,-0.217412965314713,-1.98675698421485
"1099",0.932160896456616,-0.819845047096673,-0.227457866021746
"1397",0.24394704201872,1.46172662644159,0.463029404108135
"1378",0.12700275302249,1.27502879267035,-0.589399680581383
"2109",1.59989395670256,0.108052619962187,-0.0857856202168137
"2307",-0.341919661320768,0.128457044446375,1.72207127485239
"1103",-0.712633920276766,0.297421097418152,-0.543581324044675
"610",-0.844774749395461,-1.21040403934619,-2.13936003204602
"1543",-1.37628153090251,-0.20024964060768,-2.17971298756961
"1373",-0.610886171403001,-0.837008371803706,-0.0345018626669853
"1375",0.556761785655773,1.3993038631537,-1.05812618643548
"1428",-0.62668211375011,0.322276111514822,-0.637326625215495
"2242",1.01402725336307,-1.22521696203303,1.17325625052744
"1588",-0.302756279610793,1.150753722187,-0.120673174727282
"1193",-0.560611699190763,1.07618867989699,0.160562728785179
"1553",0.725179351313529,-1.46162482399761,0.30831776817956
"568",0.275538926712937,-0.856842340195464,1.66867892920516
"1731",0.916364954109507,0.339439436221855,-0.830282628570256
"1860",0.947357436579081,0.501282255896426,0.315891757290083
"163",-0.849459601240306,0.839780817932411,-0.7043757535627
"24",0.0720434289654063,1.41201659824825,0.650520006449776
"2347",1.06838717519551,1.1182070187007,-0.126138575740402
"493",-1.12659701056294,-0.986138456383727,0.527969944357936
"306",-0.0139083775612502,1.38716158415158,0.744265307620596
"862",-0.27176379714122,1.31259654186157,1.02550121113306
"413",2.38925615778958,-0.82753673648631,-0.326668568205686
"616",1.2753687203386,1.75998679560163,-0.661914209941708
"1074",0.0720434289654063,1.41201659824825,0.650520006449776
"1114",-1.32949310608583,-1.19769130425164,-0.430713839160762
"1031",-0.388708086137449,1.12589870809033,-0.0269278735564622
"12",-0.676956585962349,-1.59092094018588,-0.832391216667659
"1245",1.94370118280919,0.207472676348868,-0.460766824900095
"1354",-1.22834475943671,0.148291012838132,0.0188904829802463
"710",0.881287022019734,-0.252630312485744,-0.481997596710591
"530",1.61568989904967,-1.05123186335634,0.517039142331696
"1663",0.501802461598689,1.5362916687316,0.181793500595674
"1564",-0.708548470656566,0.727648026451181,-2.03804074176468
"2382",-1.62302585998021,0.61608569106238,0.139331956974683
