"","avg_a","q26r3","q26r11"
"637",2.25,1,1
"590",2.5,1,4
"278",2.25,2,3
"165",3.25,1,6
"10",3.75,3,6
"457",3.5,6,6
"520",2,3,6
"1924",3.75,3,6
"818",3.5,2,2
"238",1.25,4,6
"618",3.5,2,6
"1926",4,1,6
"403",2,2,2
"1806",2.25,1,5
"2085",2.5,1,2
"1810",3.5,2,5
"1859",3.5,4,3
"466",3.5,2,5
"760",3,1,5
"1228",3.25,2,5
"1362",4,6,6
"1995",2.75,1,4
"490",2,4,6
"700",2.75,1,4
"717",3,3,1
"544",1,1,1
"1255",3,1,6
"1303",3.75,3,6
"2355",2,2,2
"1215",2.5,1,6
"1831",3.5,3,6
"915",3,1,1
"352",1.5,3,3
"1768",2.25,2,6
"20",2.5,2,4
"1986",3.25,2,6
"464",4.25,2,6
"838",2.75,2,5
"569",1.5,1,1
"102",1.5,1,1
"1707",3.25,1,2
"2289",2.75,1,2
"816",4.25,3,3
"1443",2.25,1,4
"1547",2.5,1,6
"657",2.25,2,4
"2024",3,1,5
"1032",2.25,2,2
"424",3,1,6
"1321",1.75,2,2
"1203",3,2,3
"2293",1.75,1,2
"162",2.5,3,4
"1519",4,3,3
"345",1.5,4,2
"94",3.25,3,3
"1054",2.25,3,6
"1073",3.5,1,5
"888",1,1,1
"96",2.5,1,2
"1174",3,1,1
"1430",2.25,2,5
"1887",3,1,1
"144",2,2,2
"1900",3.5,2,5
"1877",2.25,1,4
"1413",3.25,2,2
"622",1.75,1,3
"251",3,2,4
"966",4,1,5
"1445",3.75,4,4
"91",3,3,2
"1738",3.5,3,3
"293",2.75,2,3
"904",2,1,1
"1257",2.25,3,6
"1136",3.5,5,5
"1612",3.25,2,3
"291",4,2,6
"2314",1,1,1
"715",2.25,2,5
"1989",3.25,2,6
"998",3,3,3
"974",2.5,2,2
"970",2.75,1,3
"1963",3,2,4
"2110",3.25,2,6
"1600",2.25,2,6
"242",1.75,1,1
"615",2.75,2,6
"1817",4,5,5
"2142",3.5,2,6
"1823",2.75,6,5
"1085",2.5,2,2
"1966",2.5,2,4
"1155",2.5,1,2
"73",3.75,3,5
"798",3.25,2,1
"639",2.25,2,4
"595",2.5,3,3
"663",2.75,1,4
"723",1.5,1,3
"297",1,1,1
"732",3.25,1,5
"2177",3.25,2,6
"1284",2.25,1,2
"2169",2.5,1,6
"886",3.25,3,2
"705",1.25,2,2
"288",2.5,2,2
"598",1.75,1,2
"1186",2.75,3,3
"1503",3,1,6
"184",3.5,2,3
"666",2.25,1,4
"1139",3.5,1,6
"38",3.25,2,4
"1723",3.5,2,3
"131",2,1,2
"929",3.25,1,2
"1133",2.75,3,3
"1050",1.75,1,2
"2384",2,2,2
"1480",2.25,2,2
"1961",2.75,3,2
"259",3,2,5
"742",3.5,3,4
"677",3,3,2
"612",2.75,1,2
"2369",3,2,5
"1624",3.5,1,6
"633",3.5,1,1
"701",2.25,1,6
"1468",3.75,3,6
"473",3,3,4
"1423",2.75,1,2
"524",2.75,1,6
"1271",4.25,1,6
"2288",3.25,1,3
"1937",3,2,6
"588",3.75,3,3
"246",3.25,1,1
"945",2.25,2,2
"586",2,2,2
"839",4.75,2,6
"1351",3,2,6
"1885",3,1,3
"1102",3.25,1,5
"856",3.25,3,5
"1641",3.5,4,6
"190",3,1,4
"1446",2.75,1,3
"1982",2.75,2,2
"1466",3,2,6
"659",3.25,2,3
"744",1.75,1,5
"197",2,2,2
"208",2.5,1,4
"1872",3.75,4,3
"2149",2.25,3,6
"228",3,3,1
"386",2,5,5
"2371",1.75,1,1
"181",3.5,3,6
"2269",3.75,3,2
"2004",3,1,4
"2071",3.25,2,4
"155",3.25,2,2
"357",4,1,2
"2320",3.25,3,6
"1596",2.75,3,3
"1104",3.25,3,2
"2104",2,3,3
"943",2,2,2
"1570",3.75,6,6
"2258",2.25,2,2
"2043",2.75,1,6
"658",3,1,6
"412",4,2,2
"1721",3.25,5,6
"356",3,1,2
"1647",3.5,3,6
"1442",2,1,5
"1659",1.25,1,6
"1222",3.75,3,6
"1711",2.5,3,1
"1968",3.25,2,4
"109",3,3,6
"526",2,3,4
"2236",2.25,2,2
"1199",3,1,1
"1035",3.75,3,3
"1586",2.25,1,6
"912",2.5,1,6
"123",2.25,2,2
"55",2.75,1,2
"283",2,1,6
"766",3.75,1,3
"127",1.75,1,6
"1930",3.75,1,6
"1279",3.25,3,5
"1955",2.25,1,6
"409",3,2,2
"1676",3.25,3,5
"2073",2.75,1,1
"2102",3.5,3,5
"1210",2.5,1,6
"185",3.25,4,3
"1493",2.75,2,1
"2365",1,1,1
"70",4,1,3
"969",3.5,1,6
"68",3.25,4,6
"2050",3.5,2,6
"2373",2.25,2,3
"1374",2.5,3,6
"1172",2.25,2,3
"1566",2.25,3,6
"1979",3.5,1,1
"477",2.75,2,6
"964",3.75,3,6
"2261",1,1,1
"49",3.5,1,1
"1957",2.25,1,6
"1081",1.75,2,1
"1991",2,1,6
"825",2,2,2
"1119",2.75,2,3
"946",3,3,3
"582",3,3,2
"391",3.5,1,1
"1327",3.5,3,6
"1315",3,3,6
"1847",2.5,1,1
"719",4.5,2,4
"2156",3.5,2,2
"1160",3,2,6
"2174",2,2,1
"1875",1.5,1,3
"2134",2,3,2
"2015",2.25,5,6
"1452",2.75,3,3
"2316",2.75,2,3
"2052",2.5,3,5
"1798",2.25,1,5
"168",2,2,2
"1551",3.5,2,6
"2319",1.5,1,3
"487",3.5,3,5
"29",3,4,3
"2140",2.5,1,6
"2229",1.5,2,1
"2037",3.75,4,6
"836",2,2,1
"2186",2.75,3,1
"597",3,1,4
"2393",2.75,2,2
"2031",2,2,6
"1630",2,4,6
"2372",3.25,3,3
"1489",4,6,6
"995",3,3,3
"925",2.25,1,2
"702",1.5,2,2
"2383",2.25,3,3
"460",3,1,1
"136",3.75,2,6
"608",3.5,1,6
"1652",2.75,3,6
"983",4,1,3
"2324",2.75,3,3
"878",3,3,4
"664",3,2,2
"536",2.25,3,3
"877",3,1,5
"273",1.5,2,2
"1696",2.5,1,1
"1100",1,1,1
"571",3,1,5
"16",4,1,6
"1754",2.5,3,3
"2290",3.5,1,6
"690",2.75,2,4
"895",3.25,1,2
"893",3.25,2,5
"748",2.25,1,5
"2235",2.75,3,3
"1735",2.75,1,6
"1475",2.75,2,5
"1111",3,2,6
"488",2,2,2
"21",2.75,2,2
"1516",3.75,3,4
"1352",2.5,1,3
"1069",2.75,2,3
"2201",2,2,2
"1086",3.5,2,2
"2165",2.75,3,6
"279",1.5,3,3
"1372",3.25,2,6
"926",2.25,2,2
"1825",3,1,6
"255",2.5,4,3
"37",2.75,1,3
"1337",3.5,4,4
"551",3.5,1,1
"2105",2.25,1,6
"1455",2.25,3,1
"1402",3.25,4,3
"1526",3.5,2,6
"1419",3.25,1,6
"1105",3,3,3
"1523",2.5,1,3
"1959",3,3,4
"76",3,1,6
"307",2.75,3,4
"66",1,1,1
"398",3.5,1,6
"1849",3.25,3,1
"2103",3.5,1,6
"1819",2.75,2,5
"205",3.75,3,3
"1182",2.75,2,6
"497",3.25,2,5
"1896",3,3,3
"1479",3.25,2,6
"560",1.75,2,1
"2108",2,1,1
"2339",3,1,1
"1380",3.25,1,3
"69",2,4,3
"790",3.25,2,5
"79",3,3,3
"1747",3.5,2,2
"1018",2,1,6
"1456",2.75,2,2
"63",1.75,2,2
"896",3.5,2,3
"2276",2,1,6
"1680",2,2,3
"675",1,1,1
"587",2.25,1,2
"1702",3,3,6
"1649",2.25,3,4
"395",2.25,1,3
"1950",2.5,3,6
"327",2,1,2
"1844",2.75,1,6
"171",1.75,2,2
"2249",2.25,1,6
"528",1.75,1,3
"1044",3.75,2,6
"1958",2.5,1,6
"1101",1.25,2,3
"1311",2.25,1,1
"1628",2.25,1,6
"1990",1,1,6
"749",2.25,1,1
"759",1.5,2,1
"50",3.25,2,1
"158",1.5,1,6
"2394",1.75,3,3
"693",1.75,2,2
"90",3,1,6
"917",2.75,3,6
"774",5.25,1,6
"2327",3,3,4
"1556",1.75,1,6
"1880",3.75,1,6
"1084",2.75,4,4
"1873",3.25,2,2
"392",3,1,6
"2217",3,6,6
"865",3,3,3
"1331",3.25,5,6
"695",2.25,1,2
"1302",3,3,6
"1465",2.25,4,5
"113",3,3,3
"227",4.5,3,2
"1902",2.5,2,5
"1878",3,2,6
"2059",3.25,3,5
"576",2.25,2,5
"97",3.75,4,5
"1820",3,3,3
"2220",2.75,2,5
"1709",2.5,1,6
"387",2.5,3,2
"1591",2.25,2,2
"471",3.75,1,6
"1695",3.25,3,4
"343",3,3,3
"199",2.5,2,1
"914",2.5,1,5
"325",3,4,4
"1473",3,2,6
"2311",1.5,1,3
"166",2.5,2,3
"805",3.25,1,6
"1152",2.75,1,3
"1024",3.25,3,6
"462",2,1,1
"855",2,2,4
"808",3.5,1,2
"709",3.75,2,6
"1273",2.25,3,6
"1956",3.5,1,6
"1401",2.5,4,5
"336",3,1,2
"686",2.75,2,2
"585",1.75,1,2
"1813",3,2,4
"1796",3.75,1,3
"1692",2.5,2,5
"2131",3.5,1,3
"19",3.75,2,2
"482",3,1,4
"346",3,1,4
"445",1.75,2,2
"449",3,2,3
"1889",3.25,6,6
"2163",3.25,1,2
"189",3.75,1,4
"594",3.25,1,1
"1718",3.25,3,6
"2054",3.25,2,3
"204",2,2,2
"2291",3.5,3,3
"2381",2.25,1,6
"1964",2.25,4,4
"1328",3.25,2,6
"1297",3.25,1,4
"1573",3.25,3,6
"954",3.5,1,3
"366",3,3,4
"1425",3,3,3
"2219",1.75,2,2
"1928",2.5,3,1
"665",1.75,1,3
"376",2.75,3,4
"1812",2,2,6
"1743",2.25,6,2
"1259",2,2,6
"2033",2.25,2,6
"831",3,3,3
"1432",3,5,3
"621",2.75,2,6
"1805",3.25,1,6
"1622",3,3,4
"1845",3.25,2,4
"2272",1,1,1
"2192",2.75,1,2
"638",2.5,1,3
"901",3.5,2,1
"112",3.75,1,3
"1002",3.5,2,6
"2003",3,1,1
"1416",3.25,1,1
"2112",2.75,1,6
"1590",2.5,5,3
"2234",3,3,2
"1739",3.75,1,6
"67",3,2,6
"188",1.75,2,2
"183",3.5,1,6
"32",3.5,1,2
"202",2.5,1,2
"1348",3,3,2
"755",2.5,2,4
"447",1,1,1
"1753",2.5,2,3
"1382",3,3,6
"1434",1.5,1,6
"253",1.5,1,2
"225",3.25,1,2
"2072",3,3,4
"609",3,1,1
"174",3,3,3
"643",2,1,5
"1244",2.25,2,4
"2028",3.25,1,4
"863",3.25,3,4
"1082",3,1,2
"1243",2.5,2,3
"338",2.5,2,6
"1491",3,2,3
"1254",2.75,4,6
"1947",3.5,3,3
"1821",3.75,3,3
"1388",3.25,3,5
"46",3.75,3,2
"1204",4.75,3,6
"1607",3.25,1,3
"1733",3.25,1,5
"203",2.25,1,2
"1444",2.25,3,3
"1124",2.75,2,3
"1852",2.25,4,1
"651",3.25,3,2
"1108",2.75,2,6
"881",2.5,2,3
"1042",3.25,1,2
"1358",3.25,3,3
"1759",3.5,2,5
"2058",3.25,2,5
"1836",2.25,3,2
"635",3.75,2,6
"559",2.5,1,4
"300",3.25,3,6
"2390",3.5,3,5
"1098",4.75,1,2
"148",3.5,3,2
"1409",3.75,1,6
"1022",2,3,5
"120",3.5,1,6
"971",3.5,3,6
"1653",3.25,1,6
"415",2.75,3,5
"685",1.75,1,6
"1420",3.5,2,6
"469",3,3,1
"661",2.75,1,6
"71",3.25,3,3
"81",3,1,4
"1855",3.25,1,3
"1226",3.75,2,2
"1594",3.5,1,4
"1977",2.5,1,1
"1582",2.75,1,3
"1983",3,1,6
"1496",3,2,2
"1621",2.5,1,6
"2032",2.5,1,5
"1013",1,1,1
"967",2.75,2,5
"681",3,2,6
"161",3.25,1,4
"1234",3,1,5
"1645",4,2,1
"1737",4.5,2,2
"1440",2.75,6,3
"14",3.5,3,6
"673",1.75,2,3
