byvar,avg_a,q26r3,q26r11,X,cluster,numdata$q1,numdata$q2r1,numdata$q2r2,numdata$q2r3,numdata$q2r4,numdata$q2r5,numdata$q2r6,numdata$q2r7,numdata$q2r8,numdata$q2r9,numdata$q2r10,numdata$q4r1,numdata$q4r2,numdata$q4r3,numdata$q4r4,numdata$q4r5,numdata$q4r6,numdata$q4r7,numdata$q4r8,numdata$q4r9,numdata$q4r10,numdata$q4r11,numdata$q12.imp,numdata$q13r1,numdata$q13r2,numdata$q13r3,numdata$q13r4,numdata$q13r5,numdata$q13r6,numdata$q13r7,numdata$q13r8,numdata$q13r9,numdata$q13r10,numdata$q13r11,numdata$q13r12,numdata$q48,numdata$q49,numdata$q54,numdata$q56,numdata$q57.imp
1,3.024163569,3.68401487,5.695167286,1276.230483,1,4.646840149,0.56133829,0.171003717,0.29739777,0.100371747,0.018587361,0.059479554,0.014869888,0.178438662,0.048327138,0,0.765799257,0.118959108,0.434944238,0.152416357,0.713754647,0.773234201,0.479553903,0.36802974,0.353159851,0.089219331,0.033457249,4.260223048,1.553903346,2.899628253,3.646840149,2.587360595,3.550185874,1.73605948,3.784386617,3.572490706,3.278810409,2.721189591,3.171003717,2.70260223,3.672862454,2.026022305,1.799256506,8.275092937,1.63197026
2,2.959337349,3.394578313,2.996987952,1164.662651,2,4.662650602,0.493975904,0.240963855,0.358433735,0.225903614,0.054216867,0.111445783,0.051204819,0.228915663,0.024096386,0,0.671686747,0.192771084,0.409638554,0.240963855,0.731927711,0.756024096,0.463855422,0.40060241,0.343373494,0.084337349,0.018072289,4.063253012,1.536144578,2.725903614,3.225903614,2.454819277,3.186746988,1.686746988,3.295180723,3.243975904,2.813253012,2.786144578,3.027108434,2.551204819,3.572289157,1.843373494,1.789156627,7.924698795,1.569277108
3,2.872222222,1.495238095,3.380952381,1191.139683,3,5.003174603,0.492063492,0.193650794,0.387301587,0.180952381,0.063492063,0.082539683,0.028571429,0.142857143,0.041269841,0,0.679365079,0.196825397,0.441269841,0.279365079,0.787301587,0.828571429,0.574603175,0.511111111,0.33015873,0.095238095,0.031746032,4.285714286,1.301587302,2.825396825,3.33968254,2.520634921,3.33968254,1.647619048,3.438095238,3.498412698,2.707936508,2.834920635,3.19047619,2.466666667,3.606349206,1.850793651,1.644444444,8.031746032,1.4
4,2.919858871,1.443548387,5.760080645,1212.020161,4,4.429435484,0.455645161,0.209677419,0.348790323,0.159274194,0.036290323,0.054435484,0.028225806,0.155241935,0.058467742,0,0.713709677,0.120967742,0.405241935,0.171370968,0.717741935,0.838709677,0.52016129,0.477822581,0.342741935,0.088709677,0.036290323,4.516129032,1.411290323,2.893145161,3.580645161,2.602822581,3.431451613,1.657258065,3.685483871,3.572580645,3.175403226,2.731854839,3.328629032,2.576612903,3.614919355,1.987903226,1.627016129,7.449596774,1.497983871
5,2.382731959,1.528350515,1.543814433,1094.878866,5,4.221649485,0.515463918,0.337628866,0.432989691,0.265463918,0.100515464,0.134020619,0.067010309,0.234536082,0.033505155,0,0.695876289,0.288659794,0.559278351,0.402061856,0.822164948,0.829896907,0.572164948,0.536082474,0.384020619,0.036082474,0.005154639,3.930412371,1.25,2.355670103,2.889175258,2.108247423,2.855670103,1.469072165,2.989690722,2.971649485,2.399484536,2.572164948,2.863402062,2.170103093,3.492268041,1.780927835,1.74742268,7.961340206,1.515463918
